[2026-05-12 20:46:41,163] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35281.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:42,138] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35281.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:43,229] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35368.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:44,136] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35368.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:45,160] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35368.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:46,184] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35281.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:47,159] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35281.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:48,183] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35281.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:49,158] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35398.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:50,181] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35398.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:51,205] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35398.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:52,180] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35516.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:53,204] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35516.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:54,179] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35516.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:55,203] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35368.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:56,226] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35368.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:57,201] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35368.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:58,225] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35368.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:59,200] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35457.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:00,224] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35457.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:01,345] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35457.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:02,223] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35545.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:03,247] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35545.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:04,270] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35545.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:05,249] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35605.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:06,269] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35605.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:07,244] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35605.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:08,268] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35634.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:09,292] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35634.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:10,267] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35634.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:11,290] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35634.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:12,314] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35634.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:13,289] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35634.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:14,313] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35694.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:15,288] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35694.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:16,312] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35694.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:17,335] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35754.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:18,310] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35754.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:47:19,334] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 35754.0 Ω | Previsão Nicla: fresca
